month,fallback_rate,new_free_users,free_users,new_paid_users,paid_users,revenue,llm_cost,storage_cost,backend_cost,labeling_cost,payment_fees,cogs,gross_profit,gross_margin,fixed_costs,cac_spend,net_income,cumulative_net
1,0.4,1500.0,2311.1,108.89999999999999,108.89999999999999,1059.6333,14.247024,0.10000047363281249,48.4,17.096428799999998,31.788998999999997,111.6324522736328,948.0008477263672,0.8946499206153367,39500.0,3484.7999999999997,-42036.799152273634,-42036.799152273634
2,0.3398892944999803,1650.0000000000002,3606.2824600000004,169.92954,273.92904,2665.42086888,21.4496832991274,0.27718316361914064,77.60423000000002,25.73961995895288,79.96262606639999,205.03334248809944,2460.3875263919003,0.923076559922691,27500.0,5437.74528,-30477.3577536081,-72514.15690588174
3,0.2904059328696961,1815.0000000000002,4901.804769356,230.975093844,492.577327044,4792.941584580469,27.43878842103627,0.5424587838994048,107.88764192800001,32.926546105243524,143.78824753741407,312.5836827755933,4480.357901804876,0.9347824968738997,27500.0,7391.203003008,-30410.845101203122,-102925.00200708487
4,0.24967104117502664,1996.5000000000007,6213.383170356183,292.77721745133846,763.1885647783585,7426.079131481688,32.411158595617295,0.9069308728993108,139.53143470269083,38.893390314740756,222.78237394445063,434.5252884303988,6991.553843051289,0.9414865798307619,27500.0,9368.87095844283,-29877.31711539154,-132802.31912247642
5,0.21613792323986739,2196.1500000000005,7556.401703474943,356.060813252746,1084.9058926160783,10556.49597045198,36.575725449812374,1.3820471036785318,172.8261519218204,43.89087053977485,316.6948791135594,571.3696741286456,9985.126296323335,0.9458750634938022,27500.0,11393.946024087873,-28908.819727764538,-161711.13885024097
6,0.18853333288323104,2415.765000000001,8946.110111673086,421.54445552386267,1457.6295829722176,14183.221718847335,40.13605113754413,1.9797486628078176,208.0747938929061,48.163261365052946,425.49665156542005,723.850506623731,13459.371212223605,0.9489643100155557,27500.0,13489.422576763605,-27530.05136454,-189241.19021478097
7,0.16580912900123132,2657.3415000000014,10397.813476615976,489.94932612326585,1881.9855778617334,18312.347001120623,43.28107694966835,2.712619622744508,245.5959810895542,51.93729233960202,549.3704100336187,892.8973800351878,17419.449621085434,0.9512406913226061,27500.0,15678.378435944507,-25758.92881485907,-215000.11902964005
8,0.14710247784650599,2923.0756500000016,11927.0561663048,562.0078821819014,2359.304109039857,22956.81541566082,46.181100569098746,3.594038165746619,285.72720550689314,55.417320682918486,688.7044624698246,1079.6241273944815,21877.19128826634,0.9529715203155757,27500.0,17984.252229820846,-23607.060941554508,-238607.17997119456
9,0.13170309139311387,3215.3832150000026,13549.8025180404,638.4723699600188,2891.607794093082,28136.307705790387,48.9869693885875,4.6383314755248115,328.82820624266964,58.78436326630499,844.0892311737116,1285.3271015467985,26850.98060424359,0.9543178474238011,27500.0,20431.1158387206,-21080.135234477013,-259687.3152056716
10,0.11902625783378308,3536.9215365000027,15282.6165597078,720.1232933893727,3481.608736748266,33877.21354480621,51.83115891250977,5.8609360945326925,375.2845059291213,62.19739069501173,1016.3164063441862,1511.4903979753617,32365.72314683085,0.9553832727129031,27500.0,23043.945388459928,-18178.22224162908,-277865.5374473007
