month,fallback_rate,new_free_users,free_users,new_paid_users,paid_users,revenue,llm_cost,storage_cost,backend_cost,labeling_cost,payment_fees,cogs,gross_profit,gross_margin,fixed_costs,cac_spend,net_income,cumulative_net
1,0.30000000000000004,1500.0,2250.6,169.4,169.4,1648.3184666666668,11.781528,0.11026006835937498,48.4,14.1378336,49.449554000000006,123.87917566835938,1524.4392909983076,0.9248451205434375,39500.0,3726.8,-41702.360709001696,-41702.360709001696
2,0.25111308559069856,1710.0000000000002,3515.9133600000005,264.63864000000007,429.2954400000001,4177.187729680001,18.39954549594329,0.3159796550351563,78.904176,22.079454595131946,125.31563189040003,245.01478763651042,3932.172942043491,0.941344559188562,27500.0,5822.050080000002,-29389.87713795651,-71092.2378469582
3,0.21107776525718364,1949.4000000000005,4821.157470816001,362.88282038400007,780.1579880640002,7591.19727652541,24.1340676766835,0.6369951022604234,112.02630917760001,28.960881212020197,227.7359182957623,393.4941714643264,7197.703105061084,0.9481644123936621,27500.0,7983.422048448001,-28285.71894338692,-99377.95679034512
4,0.17829134595512616,2222.3160000000007,6191.7362120301705,466.04466112055053,1224.3582255187587,11913.41365370603,29.05157105593283,1.0944805162807072,148.3218887509786,34.86188526711939,357.4024096111809,570.7322352014924,11342.681418504537,0.9520933082833106,27500.0,10252.982544652112,-26410.301126147577,-125788.2579164927
5,0.15144132248346553,2533.4402400000013,7653.748926213016,576.0886288547432,1766.1648240589766,17185.372459701863,33.27397868768429,1.7113570261266302,188.39827500543987,39.92877442522115,515.5611737910558,778.8735589355277,16406.498900766335,0.9546781100751867,27500.0,12673.94983480435,-23767.450934038017,-149555.70885053073
6,0.129452835305682,2888.1218736000014,9234.50092371586,695.0699620001185,2411.7821709854434,23467.444451078696,36.949339635075624,2.5127268901489126,232.92566189402606,44.33920756209075,704.0233335323609,1020.7502695137023,22446.694181564995,0.9565035608524991,27500.0,15291.539164002606,-20344.84498243761,-169900.55383296835
7,0.11144564179697374,3292.4589359040024,10963.02580072201,825.1739850005815,3169.4262551984325,30839.57393849915,40.23441436002579,3.5263406256415526,282.6490411184089,48.281297232030944,925.1872181549745,1299.8783114910816,29539.69562700807,0.9578503155042504,27500.0,18153.827670012794,-16114.132043004724,-186014.68587597308
8,0.0966988783912727,3753.403186930563,12870.629838943176,968.757084651637,4049.439404704513,39402.39522090981,43.285026030281124,4.783105802919661,338.40138487295377,51.94203123633735,1182.0718566272944,1620.4834045697862,37781.91181634003,0.9588734797596813,27500.0,21312.655862336014,-11030.744045995987,-197045.42992196907
9,0.08462220298715953,4278.879633100842,14991.468948983565,1128.3901359449997,5064.445237317786,49278.740307514505,46.25140427493036,6.317646774489613,401.118283726027,55.501685129916424,1478.362209225435,1987.5512291307984,47291.18907838371,0.9596671664752819,27500.0,24824.582990789993,-5033.393912406285,-202078.82383437536
10,0.07473216238611968,4877.922781734961,17363.169019763853,1306.9051950359892,6229.545965708878,60615.55876166929,49.27668070743508,8.168925411153829,471.85429970945466,59.13201684892209,1818.4667628500786,2406.898685527044,58208.660076142245,0.9602923946475428,27500.0,28751.914290791763,1956.745785350482,-200122.0780490249
11,0.06663283870495965,5560.831971177856,20027.50114650536,1507.4463228552422,7562.565001524271,73586.27831983168,52.49732963612723,10.380933901995343,551.8013229605926,62.99679556335268,2207.58834959495,2885.2647316570183,70701.01358817465,0.9607907235216238,27500.0,33163.81910281533,10037.194485359323,-190084.88356366556
12,0.06,6339.3484471427555,23031.12403679275,1733.5254651349383,9084.33864661653,88393.64314446105,56.044776387392986,13.003471859575988,642.3092536681855,67.25373166487158,2651.8092943338315,3430.4205279138578,84963.2226165472,0.9611915471986199,27500.0,38137.560232968644,19325.66238357855,-170759.221180087
13,0.05456812062118872,7226.857229742743,26426.406949540626,1989.0843940514453,10819.061558562713,105273.07531866807,60.04768432831169,15.982761306034954,744.9093701620668,72.05722119397402,3158.1922595600417,4051.1892965504294,101221.88602211764,0.9615173273480686,27500.0,43759.8566691318,29962.029352985846,-140797.19182710117
14,0.05011975169524262,8238.617241906728,30272.347821000214,2278.563814483887,12794.691649406843,124496.61464594505,64.63462471059428,19.39775565163314,861.3407894081412,77.56154965271313,3734.8984393783517,4757.8331588014335,119738.78148714363,0.9617834334505224,27500.0,50128.40391864552,42110.37756849811,-98686.81425860306
15,0.04647681621723623,9392.02365577367,34635.6027955173,2606.9808555765712,15043.421138800022,146377.50215423715,69.93696168357167,23.301560913867416,993.5804786863464,83.92435402028599,4391.325064627114,5562.068419931185,140815.43373430596,0.9620018900577325,27500.0,57353.57882268457,55961.85491162139,-42724.95934698167
16,0.04349348027594061,10706.906967581985,39591.645231695846,2980.016307762053,17602.221654675675,171275.48410721257,76.0918694290885,27.756003427497763,1143.8773377274304,91.3102433149062,5138.264523216377,6477.2999771153,164798.18413009727,0.9621819782855745,27500.0,65560.35877076517,71737.8253593321,29012.86601235043
17,0.04105031503396466,12205.873943043463,45226.07442726939,3404.113128934255,20513.47257727901,199602.92600111722,83.24545388569115,32.83266098474307,1314.790940090968,99.89454466282938,5988.0877800335165,7518.851379657748,192084.07462145947,0.9623309561122583,27500.0,74890.48883655362,89693.58578490585,118706.45179725628
18,0.0390495157552193,13914.69629506955,51636.09683438637,3886.587933771018,23825.683278886216,231831.8401979892,91.55598788989661,38.614065842680255,1509.2356022654517,109.86718546787594,6954.955205939676,8704.22804740558,223127.61215058362,0.9624545617203747,27500.0,85504.9345429624,110122.67760762123,228829.1294048775
19,0.037410986487919184,15862.753776379292,58932.205463533726,4435.757400481033,27594.321547558437,268501.94676492614,101.19729254406647,45.19509968396125,1730.5305402218435,121.43675105287977,8055.058402947784,10053.418086450536,258448.5286784756,0.9625573735774351,27500.0,97586.66281058273,133361.86586789286,362190.99527277035
20,0.03606913366523994,18083.53930507239,67240.08654831679,5061.0817832066405,31882.76232743344,310229.9050333699,112.36231383126429,52.68460400314037,1982.4569775150048,134.83477659751713,9306.897151001096,11589.235822948023,298640.66921042185,0.9626430732984899,27500.0,111343.7992305461,159796.86997987574,521987.8652526461
21,0.03497024026512441,20615.23480778253,76702.7864219776,5773.328010256379,36763.37299252168,357719.87367490015,125.26695506512547,61.20723316824192,2269.3231882899854,150.32034607815055,10731.596210247004,13337.713932848506,344382.1597420516,0.9627146409400502,27500.0,127013.21622564032,189868.9435164113,711856.8087690574
22,0.03407031541166218,23501.36768087209,87483.17600585509,6584.755183236404,42318.75373196748,411775.58006328763,140.15423481010626,70.90558164242833,2596.0385947564514,168.1850817721275,12353.267401898629,15328.550894879743,396447.0291684079,0.9627745023332277,27500.0,144864.61403120088,224082.41513720702,935939.2239062644
23,0.03333333333333333,26791.559156194184,99766.75540587021,7509.325675710661,48643.15430318305,473314.10575473885,157.29884788069654,81.94262161810056,2968.1981941810654,188.75861745683582,14199.423172642166,17595.621453778866,455718.48430096,0.9628246417340105,27500.0,165205.16486563455,263013.31943532545,1198952.5433415899
24,0.03272979118013208,30542.377438061372,113764.84694265963,8562.945468802338,55844.091451496264,543381.6245202092,177.01221492293627,94.50449269875303,3392.1787678831174,212.4146579075235,16301.448735606275,20177.558869018605,523204.0656511905,0.9628666889741904,27500.0,188384.80031365145,307319.2653375391,1506271.808679129
